iter	Passed	Remaining
332	3674	2946
333	3685	2934
334	3695	2923
335	3706	2912
336	3717	2900
337	3727	2889
338	3738	2878
339	3748	2866
340	3759	2855
341	3768	2843
342	3778	2831
343	3790	2820
344	3800	2808
345	3811	2797
346	3821	2786
347	3831	2774
348	3843	2764
349	3853	2752
350	3863	2741
351	3874	2729
352	3884	2718
353	3896	2707
354	3907	2696
355	3917	2685
356	3927	2673
357	3938	2662
358	3949	2651
359	3959	2639
360	3969	2628
361	3979	2616
362	3990	2605
363	4000	2593
364	4010	2581
365	4022	2571
366	4033	2560
367	4043	2549
368	4054	2538
369	4065	2527
370	4075	2515
371	4086	2504
372	4096	2493
373	4107	2481
374	4117	2470
375	4128	2459
376	4138	2447
377	4148	2436
378	4159	2425
379	4171	2414
380	4182	2404
381	4193	2392
382	4204	2381
383	4214	2370
384	4224	2359
385	4234	2347
386	4246	2337
387	4256	2325
388	4267	2314
389	4278	2303
390	4287	2291
391	4297	2280
392	4308	2269
393	4319	2258
394	4329	2246
395	4339	2235
396	4349	2224
397	4361	2213
398	4371	2202
399	4381	2190
400	4392	2179
401	4402	2168
402	4413	2157
403	4424	2146
404	4435	2135
405	4446	2124
406	4456	2113
407	4467	2102
408	4477	2091
409	4488	2080
410	4498	2068
411	4508	2057
412	4518	2046
413	4529	2034
414	4540	2024
415	4551	2013
416	4562	2002
417	4572	1990
418	4582	1979
419	4595	1969
420	4605	1958
421	4615	1947
422	4626	1935
423	4636	1924
424	4647	1913
425	4658	1902
426	4669	1891
427	4680	1880
428	4690	1869
429	4700	1858
430	4712	1847
431	4722	1836
432	4733	1825
433	4745	1814
434	4755	1803
435	4765	1792
436	4776	1781
437	4787	1770
438	4798	1759
439	4808	1748
440	4818	1737
441	4829	1726
442	4839	1715
443	4850	1704
444	4860	1692
445	4870	1681
446	4881	1670
447	4891	1659
448	4901	1648
449	4911	1637
450	4921	1626
451	4932	1615
452	4943	1604
453	4953	1593
454	4964	1581
455	4973	1570
456	4984	1559
457	4994	1548
458	5004	1537
459	5015	1526
460	5025	1515
461	5035	1504
462	5045	1493
463	5056	1482
464	5066	1470
465	5077	1460
466	5089	1449
467	5099	1438
468	5109	1427
469	5119	1416
470	5130	1405
471	5140	1393
472	5150	1382
473	5160	1371
474	5170	1360
475	5181	1349
476	5191	1338
477	5203	1328
478	5214	1317
479	5225	1306
480	5237	1295
481	5247	1284
482	5257	1273
483	5268	1262
484	5279	1251
485	5290	1241
486	5300	1229
487	5311	1218
488	5321	1207
489	5331	1196
490	5342	1186
491	5353	1175
492	5364	1164
493	5374	1153
494	5384	1142
495	5395	1131
496	5405	1120
497	5416	1109
498	5427	1098
499	5438	1087
500	5448	1076
501	5459	1065
502	5470	1054
503	5480	1043
504	5490	1032
505	5500	1021
506	5513	1011
507	5524	1000
508	5534	989
509	5544	978
510	5555	967
511	5565	956
512	5576	945
513	5587	934
514	5598	923
515	5608	912
516	5618	902
517	5629	891
518	5640	880
519	5650	869
520	5661	858
521	5671	847
522	5682	836
523	5692	825
524	5703	814
525	5714	803
526	5725	793
527	5735	782
528	5745	771
529	5755	760
530	5767	749
531	5777	738
532	5788	727
533	5798	716
534	5809	705
535	5819	694
536	5829	683
537	5840	673
538	5851	662
539	5861	651
540	5872	640
541	5882	629
542	5893	618
543	5903	607
544	5914	596
545	5924	585
546	5934	575
547	5944	564
548	5955	553
549	5965	542
550	5975	531
551	5985	520
552	5996	509
553	6006	498
554	6017	487
555	6028	477
556	6038	466
557	6049	455
558	6059	444
559	6071	433
560	6081	422
561	6092	411
562	6102	401
563	6112	390
564	6122	379
565	6134	368
566	6144	357
567	6156	346
568	6166	335
569	6177	325
570	6187	314
571	6197	303
572	6207	292
573	6219	281
574	6229	270
575	6239	259
576	6250	249
577	6262	238
578	6272	227
579	6282	216
580	6293	205
581	6303	194
582	6314	184
583	6325	173
584	6336	162
585	6346	151
586	6356	140
587	6367	129
588	6377	119
589	6388	108
590	6399	97
591	6409	86
592	6419	75
593	6429	64
594	6439	54
595	6450	43
596	6460	32
597	6470	21
598	6480	10
599	6491	0
