iter	RMSE
467	301.8745359
468	301.7823285
469	301.609034
470	301.4676405
471	301.3185823
472	301.1510774
473	300.9924829
474	300.8677399
475	300.7825135
476	300.6875621
477	300.5383645
478	300.3383176
479	300.1752107
480	300.0463664
481	299.9072231
482	299.7332976
483	299.5979272
484	299.4410697
485	299.3527904
486	299.2158212
487	299.0510207
488	298.9506407
489	298.7323838
490	298.5975452
491	298.5337049
492	298.3551634
493	298.1976088
494	297.8845185
495	297.7369683
496	297.5990707
497	297.4145315
498	297.2385817
499	297.1559602
500	297.0123707
501	296.8482642
502	296.7317838
503	296.6102642
504	296.3863122
505	296.2486046
506	296.1636432
507	296.0366033
508	295.8675289
509	295.7544783
510	295.6743296
511	295.5074008
512	295.4021165
513	295.263479
514	295.1656456
515	295.0647111
516	294.9301145
517	294.7884137
518	294.6351093
519	294.4145209
520	294.2166414
521	294.0973373
522	294.0034498
523	293.7719626
524	293.5996235
525	293.4881014
526	293.3723813
527	293.2617652
528	293.1087215
529	293.0249576
530	292.8304682
531	292.6247542
532	292.4850434
533	292.3911801
534	292.2660521
535	292.1925279
536	292.0755969
537	291.9460913
538	291.8038391
539	291.678814
540	291.516686
541	291.4285363
542	291.2786817
543	291.0419606
544	290.9169415
545	290.7933478
546	290.735302
547	290.6126993
548	290.4929393
549	290.3428803
550	290.1895007
551	290.0666228
552	290.0022761
553	289.857363
554	289.6270394
555	289.4849547
556	289.3902859
557	289.3162321
558	289.2020519
559	289.0830946
560	288.9767791
561	288.8749919
562	288.8092824
563	288.7587334
564	288.630182
565	288.5369252
566	288.4115715
567	288.2194108
568	288.058625
569	287.9917411
570	287.8847305
571	287.7326144
572	287.6186375
573	287.4850881
574	287.3244317
575	287.2209781
576	287.1116415
577	286.9112838
578	286.7952779
579	286.6068854
580	286.5356334
581	286.4403625
582	286.3343419
583	286.2272991
584	286.1378929
585	286.0826555
586	285.9962797
587	285.8999467
588	285.8041018
589	285.7212411
590	285.6196184
591	285.4866064
592	285.4098968
593	285.3135018
594	285.2188431
595	285.163473
596	285.0642834
597	284.9927026
598	284.9485243
599	284.8670948
